"","year","player","team","salary","total_salary"
"1",2015,"MS Dhoni","Chennai Super Kings",3000000,16500000
"2",2014,"MS Dhoni","Chennai Super Kings",3000000,16500000
"3",2013,"MS Dhoni","Chennai Super Kings",3000000,16500000
"4",2012,"MS Dhoni","Chennai Super Kings",1500000,16500000
"5",2011,"MS Dhoni","Chennai Super Kings",1500000,16500000
"6",2010,"MS Dhoni","Chennai Super Kings",1500000,16500000
"7",2009,"MS Dhoni","Chennai Super Kings",1500000,16500000
"8",2008,"MS Dhoni","Chennai Super Kings",1500000,16500000
"9",2015,"G Gambhir","Kolkata Knight Riders",2400000,14175000
"10",2014,"G Gambhir","Kolkata Knight Riders",2400000,14175000
"11",2013,"G Gambhir","Kolkata Knight Riders",2400000,14175000
"12",2012,"G Gambhir","Kolkata Knight Riders",2400000,14175000
"13",2011,"G Gambhir","Kolkata Knight Riders",2400000,14175000
"14",2010,"G Gambhir","Delhi Daredevils",725000,14175000
"15",2009,"G Gambhir","Delhi Daredevils",725000,14175000
"16",2008,"G Gambhir","Delhi Daredevils",725000,14175000
"17",2015,"RG Sharma","Mumbai Indians",2000000,12250000
"18",2014,"RG Sharma","Mumbai Indians",2000000,12250000
"19",2013,"RG Sharma","Mumbai Indians",2000000,12250000
"20",2012,"RG Sharma","Mumbai Indians",2000000,12250000
"21",2011,"RG Sharma","Mumbai Indians",2000000,12250000
"22",2010,"RG Sharma","Deccan Chargers",750000,12250000
"23",2009,"RG Sharma","Deccan Chargers",750000,12250000
"24",2008,"RG Sharma","Deccan Chargers",750000,12250000
"25",2015,"RV Uthappa","Kolkata Knight Riders",833000,10366000
"26",2014,"RV Uthappa","Kolkata Knight Riders",833000,10366000
"27",2013,"RV Uthappa","Pune Warriors",2100000,10366000
"28",2012,"RV Uthappa","Pune Warriors",2100000,10366000
"29",2011,"RV Uthappa","Pune Warriors",2100000,10366000
"30",2010,"RV Uthappa","Royal Challengers Bangalore",800000,10366000
"31",2009,"RV Uthappa","Royal Challengers Bangalore",800000,10366000
"32",2008,"RV Uthappa","Mumbai Indians",800000,10366000
"33",2015,"RA Jadeja","Chennai Super Kings",2000000,8950000
"34",2014,"RA Jadeja","Chennai Super Kings",2000000,8950000
"35",2013,"RA Jadeja","Chennai Super Kings",2000000,8950000
"36",2012,"RA Jadeja","Chennai Super Kings",2000000,8950000
"37",2011,"RA Jadeja","Kochi Tuskers Kerala",950000,8950000
"38",2014,"IK Pathan","Sunrisers Hyderabad",400000,8875000
"39",2013,"IK Pathan","Delhi Daredevils",1900000,8875000
"40",2012,"IK Pathan","Delhi Daredevils",1900000,8875000
"41",2011,"IK Pathan","Delhi Daredevils",1900000,8875000
"42",2010,"IK Pathan","Kings XI Punjab",925000,8875000
"43",2009,"IK Pathan","Kings XI Punjab",925000,8875000
